,PO:REI3N101,Unnamed: 1,Route: REI-N101,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,Opmerkingen
1,1,,HLT9584,BEHEER,"Halte, NL:Q:32009584 Oude Middenweg",Pijlkruidveld 2,REI-0023,,,
2,2,,HLT9585,BEHEER,"Halte, NL:Q:32009585 Oude Middenweg",Pijlkruidveld 2,REI-0023,,,
3,3,,HLT9586,BEHEER,"Halte, NL:Q:32009586 Klaverveld",Pijlkruidveld 55,REI-0023,,,
4,4,,HLT9587,BEHEER,"Halte, NL:Q:32009587 Klaverveld",Pijlkruidveld 55,REI-0023,,,
5,5,,HLS0387,BEHEER,"Halte, NL:Q:42014901 Leidschenveen Centrum",Laan van leidscheveen Metrostation,REI-0023,,,
6,6,,HLT9589,BEHEER,"Halte, NL:Q:32009589 Leidschenveen Centrum",Laan van leidscheveen Metrostation,REI-0023,,,
7,7,,HLT9591,BEHEER,"Halte, NL:Q:32009591 Lanen",Laan van leidscheveen Busbaan,REI-0023,,,
8,8,,HLT9591,BEHEER,"Halte, NL:Q:32009591 Lanen",Laan van leidscheveen Busbaan,REI-0023,,,
9,9,,HLT9841,BEHEER,"Halte, NL:Q:32009841 Station Ypenburg",Laan van leidscheveen Busbaan,REI-0023,,,
10,10,,HLT9841,BEHEER,"Halte, NL:Q:32009841 Station Ypenburg",Laan van leidscheveen Busbaan,REI-0023,,,
11,11,,HLT9840,BEHEER,"Halte, NL:Q:32009840 Station Ypenburg",Laan van leidscheveen/Ypenburgse Stationweg,REI-0023,,,
12,12,,HLS0186,BEHEER,"Halte, NL:Q:42017301 Station Ypenburg",Laan van leidscheveen/Ypenburgse Stationweg,REI-0023,,,
13,13,,HLS0173,BEHEER,"Halte, NL:Q:42016001 Laan van Nootdorp",Ypenburgsestationsweg/Laan van Nootdorp,REI-0023,,,
14,14,,HLT9808,BEHEER,"Halte, NL:Q:32009808 Weidevogellaan",Laan van Nootdorp/Kiekendiefstraat,REI-0023,,,
15,15,,HLT9807,BEHEER,"Halte, NL:Q:32009807 Weidevogellaan",Laan van Nootdorp/Kiekendiefstraat,REI-0023,,,
16,16,,HLT9809,BEHEER,"Halte, NL:Q:32009809 Weidevogellaan",Laan van Nootdorp/Kiekendiefstraat,REI-0023,,,
17,17,,HLT9813,BEHEER,"Halte, NL:Q:32009813 Gruttosingel",Nootdorpse landingslaan 96,REI-0023,,,
18,18,,HLT9812,BEHEER,"Halte, NL:Q:32009812 Gruttosingel",Nootdorpse landingslaan 96,REI-0023,,,
19,19,,HLT9811,BEHEER,"Halte, NL:Q:32009811 Scholekstersingel",Nootdorpse landingslaan/Sperwerksingel,REI-0023,,,
20,20,,HLT9810,BEHEER,"Halte, NL:Q:32009810 Scholekstersingel",Nootdorpse landingslaan/Sperwerksingel,REI-0023,,,
21,21,,HLT5944,BEHEER,"Halte, NL:Q:32005944 Ypenburg Centrum",Ypenburg Centrum,REI-0023,,,
22,22,,HLT5945,BEHEER,"Halte, NL:Q:32005945 Ypenburg Centrum",Ypenburg Centrum,REI-0023,,,
23,,,,,,,,,,
24,PO:REI3N102,,Route: REI-N102,,,,,,,
25,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
26,1,,HLT5946,BEHEER,"Halte, NL:Q:32005946 Anthony Fokkersingel",Rijswijkse Landingslaan 153,REI-0023,,,
27,2,,HLT5947,BEHEER,"Halte, NL:Q:32005947 Anthony Fokkersingel",Rijswijkse Landingslaan 153,REI-0023,,,
28,3,,HLS0339,BEHEER,"Halte, NL:Q:42073402 Waterviolier",Brasserhoutweg/Elzenbroeklaan,REI-0023,,,
29,4,,HLS0338,BEHEER,"Halte, NL:Q:42073401 Waterviolier",Brasserhoutweg/Elzenbroeklaan,REI-0023,,,
30,5,,HLT5940,BEHEER,"Halte, NL:Q:32005940 Plesmanlaan",Laan van Hoornwijk 260,REI-0023,,,
31,6,,HLT5940,BEHEER,"Halte, NL:Q:32005940 Plesmanlaan",Laan van Hoornwijk 260,REI-0023,,,
32,7,,HLT5941,BEHEER,"Halte, NL:Q:32005941 Plesmanlaan",Laan van Hoornwijk 260,REI-0023,,,
33,8,,HLT5941,BEHEER,"Halte, NL:Q:32005941 Plesmanlaan",Laan van Hoornwijk 260,REI-0023,,,
34,9,,HLT5938,BEHEER,"Halte, NL:Q:32005938 Laan van Ypenburg",Laan van Hoornwijk/Laan van Ypenburg,REI-0023,,,
35,10,,HLT5939,BEHEER,"Halte, NL:Q:32005939 Laan van Ypenburg",Laan van Hoornwijk/Laan van Ypenburg,REI-0023,,,
36,11,,HLT5937,BEHEER,"Halte, NL:Q:32005937 Laan van 's-Gravenmade",Laan van Hoornwijk/Laan van Ypenburg,REI-0023,,,
37,12,,HLT5936,BEHEER,"Halte, NL:Q:32005936 Laan van 's-Gravenmade",Laan van Hoornwijk/Laan van Ypenburg,REI-0023,,,
38,13,,HLS0168,BEHEER,"Halte, NL:Q:42015801 Laan van 's-Gravenmade",Laan van hoornwijk/Laan van Zuidhorn,REI-0023,,,Toegevoegd
39,14,,HLT0906,BEHEER,"Halte, NL:Q:32000906 Frankenslag",Scheveningseweg/Frankenslag,REI-0023,,,
40,15,,HLT0907,BEHEER,"Halte, NL:Q:32000907 Frankenslag",Scheveningseweg/Frankenslag,REI-0023,,,
41,16,,HLT0723,BEHEER,"Halte, NL:Q:32000723 Duinstraat",Scheveningseweg 249,REI-0023,,,
42,17,,HLT0722,BEHEER,"Halte, NL:Q:32000722 Duinstraat",Scheveningseweg 249,REI-0023,,,
43,18,,HLT0720,Uitbeheer,"Halte, NL:Q:32000720 Prins Willemstraat",Duinstraat 9,REI-0023,,,Uitbeheer nemen
44,19,,HLT0721,Uitbeheer,"Halte, NL:Q:32000721 Prins Willemstraat",Prins Willemstraat t.h.v Hoogvliet,REI-0023,,,Uitbeheer nemen
45,20,,HLT0716,BEHEER,"Halte, NL:Q:32000716 Duinstraat",Duinstraat 25,REI-0023,,,
46,21,,HLT0717,BEHEER,"Halte, NL:Q:32000717 Duinstraat",Duinstraat 25,REI-0023,,,
47,22,,HLT0710,BEHEER,"Halte, NL:Q:32000710 Vuurbaakstraat (ontwerp bijlage)",Jacob pronkstraat 158,REI-0023,,,
48,23,,HLT0711,BEHEER,"Halte, NL:Q:32000711 Vuurbaakstraat",Jacob pronkstraat 158,REI-0023,,,
49,24,,HLT0736,BEHEER,"Halte, NL:Q:32000736 Strandweg",Jacob pronkstraat 158,REI-0023,,,
50,25,,HLT0701,BEHEER,"Halte, NL:Q:32000701 Strandweg (ontwerp bijlage)",Jacob pronkstraat 158,REI-0023,,,
51,,,,,,,,,,
52,PO: REI3N103,,Route: REI-N103,,,,,,,
53,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
54,1,,HLT0221,BEHEER,"Halte, NL:Q:32000221 Gentsestraat",Gentsestraat 85,REI-0023,,,Verplaatst van D108 naar N103
55,2,,HLT0745,BEHEER,"Halte, NL:Q:32000745 Keizerstraat",Jurriaan Kokstraat 238,REI-0023,,,Verplaatst van D110 naar N103
56,3,,HLT0746,BEHEER,"Halte, NL:Q:32000746 Keizerstraat",Jurriaan Kokstraat 238,REI-0023,,,Stond niet in het PO nu toegevoegd
57,4,,HLT0715,BEHEER,"Halte, NL:Q:32000715 Keizerstraat",Jurian kokstraat 292,REI-0023,,,
58,5,,HLT0714,BEHEER,"Halte, NL:Q:32000714 Keizerstraat",Jurian kokstraat 292,REI-0023,,,
59,6,,HLT0708,BEHEER,"Halte, NL:Q:32000708 Circustheater",Circusplein 50,REI-0023,,,
60,7,,HLT0708,BEHEER,"Halte, NL:Q:32000708 Circustheater",Circusplein 50,REI-0023,,,
61,8,,HLT0728,BEHEER,"Halte, NL:Q:32000728 Nieuwe Duinweg",Nieuwe parklaan 101,REI-0023,,,
62,9,,HLT0729,BEHEER,"Halte, NL:Q:32000729 Nieuwe Duinweg",Nieuwe parklaan 101,REI-0023,,,
63,10,,HLT0303,BEHEER,"Halte, NL:Q:32000303 Wagenaarweg",Nieuwe parklaan 48C,REI-0023,,,Opgeschoven in volgorde
64,11,,HLT0304,BEHEER,"Halte, NL:Q:32000304 Wagenaarweg",Nieuwe parklaan 48C,REI-0023,,,Opgeschoven in volgorde
65,12,,HLT0602,BEHEER,"Halte, NL:Q:32000602 Madurodam",George Maduroplein 1,REI-0023,,,Opgeschoven in volgorde
66,13,,HLT0601,BEHEER,"Halte, NL:Q:32000601 Madurodam",Koninginnegracht/Dokter Aletta Jacobsweg,REI-0023,,,Opgeschoven in volgorde
67,14,,HLT0601,BEHEER,"Halte, NL:Q:32000601 Madurodam",Koninginnegracht/Dokter Aletta Jacobsweg,REI-0023,,,Opgeschoven in volgorde
68,15,,HLT0505,BEHEER,"Halte, NL:Q:32000505 Riouwstraat",Koninginnegracht 101,REI-0023,,,Opgeschoven in volgorde
69,16,,HLT0506,BEHEER,"Halte, NL:Q:32000506 Riouwstraat",Koninginnegracht 101,REI-0023,,,Toegevoegd uit N104
70,17,,HLT0513,BEHEER,"Halte, NL:Q:32000513 Laan Copes van Cattenburch",Koninginnegracht 78,REI-0023,,,Toegevoegd uit N104
71,18,,HLT0514,BEHEER,"Halte, NL:Q:32000514 Laan Copes van Cattenburch",Koninginnegracht 76,REI-0023,,,Toegevoegd uit N104
72,19,,HLT0519,BEHEER,"Halte, NL:Q:32000519 Javabrug",Koninginnegracht 40,REI-0023,,,Toegevoegd uit N104
73,20,,HLT0520,BEHEER,"Halte, NL:Q:32000520 Javabrug",Koninginnegracht 34,REI-0023,,,Toegevoegd uit N104
74,21,,HLT2309,BEHEER,"Halte, NL:Q:32002309 Dr. Kuyperstraat",Koninginnegracht 16,REI-0023,,,Toegevoegd uit N104
75,22,,HLT2310,BEHEER,"Halte, NL:Q:32002310 Dr. Kuyperstraat",Koninginnegracht 12,REI-0023,,,Toegevoegd uit N104
76,,,,,,,,,,
77,PO:REI3N104,,Route: REI-N104,,,,,,,
78,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
79,1,,HLT2811,BEHEER,"Halte, NL:Q:32002811 Malieveld",Prinsessegracht 15,REI-0023,,,Opgeschoven in volgorde
80,2,,HLT2810,BEHEER,"Halte, NL:Q:32002810 Malieveld",Prinsessegracht 15,REI-0023,,,Opgeschoven in volgorde
81,3,,HLT2813,BEHEER,"Halte, NL:Q:32002813 Korte Voorhout",Korte Voorhout 20,REI-0023,,,Opgeschoven in volgorde
82,4,,HLT2813,BEHEER,"Halte, NL:Q:32002813 Korte Voorhout",Korte Voorhout 20,REI-0023,,,Opgeschoven in volgorde
83,5,,HLT2812,BEHEER,"Halte, NL:Q:32002812 Korte Voorhout",Korte Voorhout 20,REI-0023,,,Opgeschoven in volgorde
84,6,,HLT2812,BEHEER,"Halte, NL:Q:32002812 Korte Voorhout",Korte Voorhout 20,REI-0023,,,Opgeschoven in volgorde
85,7,,HLS0360,BEHEER,"Halte, NL:Q:54000470 Boslaan",Benoordenhoutseweg/Boslaan,REI-0023,,,Opgeschoven in volgorde
86,8,,HLT0439,BEHEER,"Halte, NL:Q:32000439 Willem Witsenplein",Willem Witsenplein 1,REI-0023,,,Opgeschoven in volgorde
87,9,,HLT0438,BEHEER,"Halte, NL:Q:32000438 Willem Witsenplein",Van Alkemadelaan 2,REI-0023,,,Opgeschoven in volgorde
88,10,,HLT2519,BEHEER,"Halte, NL:Q:32002519 Het Kleine Loo",Hofzichtlaan 56,REI-0023,,,Verplaatst uit N123
89,11,,HLT2520,BEHEER,"Halte, NL:Q:32002520 Het Kleine Loo",Hofzichtlaan 56,REI-0023,,,Verplaatst uit N123
90,12,,HLT2525,BEHEER,"Halte, NL:Q:32002525 Station Mariahoeve",Hofzichtlaan/Aegonplein,REI-0023,,,Verplaatst uit N123
91,13,,HLT2526,BEHEER,"Halte, NL:Q:32002526 Station Mariahoeve",Hofzichtlaan/Aegonplein,REI-0023,,,Verplaatst uit N123
92,14,,HLT2521,BEHEER,"Halte, NL:Q:32002521 Margarethaland",Hofzichtlaan/Hongarenburg,REI-0023,,,Verplaatst uit N123
93,15,,HLT2522,BEHEER,"Halte, NL:Q:32002522 Margarethaland",Hofzichtlaan 172,REI-0023,,,Verplaatst uit N123
94,16,,HLT2523,BEHEER,"Halte, NL:Q:32002523 Margarethaland",Hofzichtlaan/Margarethaland,REI-0023,,,
95,17,,HLT2524,BEHEER,"Halte, NL:Q:32002524 Margarethaland",Hofzichtlaan/Margarethaland,REI-0023,,,
96,18,,HLT2518,BEHEER,"Halte, NL:Q:32002518 Hofzichtlaan",Het kleine Looi/Hofzichtlaan,REI-0023,,,
97,19,,HLT2517,BEHEER,"Halte, NL:Q:32002517 Hofzichtlaan",Het kleine Looi/Hofzichtlaan,REI-0023,,,
98,20,,HLT2516,BEHEER,"Halte, NL:Q:32002516 Vlamenburg",Het kleine Looi 298,REI-0023,,,
99,21,,HLT2515,BEHEER,"Halte, NL:Q:32002515 Vlamenburg",Het kleine Looi 298,REI-0023,,,
100,22,,HLT2514,BEHEER,"Halte, NL:Q:32002514 Reigersbergenweg",Het kleine Looi 104,REI-0023,,,Toegevoeg uit N105
101,23,,HLT2513,BEHEER,"Halte, NL:Q:32002513 Reigersbergenweg",Het kleine Looi 104,REI-0023,,,Toegevoeg uit N105
102,24,,HLT2510,BEHEER,"Halte, NL:Q:32002510 Carel Reinierszkade",Het kleine Looi/Carel Reinierszkade,REI-0023,,,Toegevoeg uit N105
103,25,,HLT2509,BEHEER,"Halte, NL:Q:32002509 Carel Reinierszkade",Het kleine Looi/Carel Reinierszkade,REI-0023,,,Toegevoeg uit N105
104,,,,,,,,,,
105,PO:REI3N105,,Route:REI-N105,,,,,,,
106,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
107,1,,HLT2651,BEHEER,"Halte, NL:Q:32002651 Stuyvesantplein",Stuyvesantplein 59,REI-0023,,,Opgeschoven in volgorde
108,2,,HLT2652,BEHEER,"Halte, NL:Q:32002652 Stuyvesantplein",Juliana van Stoberglaan 199,REI-0023,,,Opgeschoven in volgorde
109,3,,HLT2651,BEHEER,"Halte, NL:Q:32002651 Stuyvesantplein",Stuyvesantplein 59,REI-0023,,,Opgeschoven in volgorde
110,4,,HLT2652,BEHEER,"Halte, NL:Q:32002652 Stuyvesantplein",Juliana van Stoberglaan 199,REI-0023,,,Opgeschoven in volgorde
111,5,,HLT2647,BEHEER,"Halte, NL:Q:32002647 Oostinje",Juliana van Stoberglaan 125,REI-0023,,,Opgeschoven in volgorde
112,6,,HLT2647,BEHEER,"Halte, NL:Q:32002647 Oostinje",Juliana van Stoberglaan 125,REI-0023,,,Opgeschoven in volgorde
113,7,,HLT2648,BEHEER,"Halte, NL:Q:32002648 Oostinje",Juliana van Stoberglaan 125,REI-0023,,,Opgeschoven in volgorde
114,8,,HLT2648,BEHEER,"Halte, NL:Q:32002648 Oostinje",Juliana van Stoberglaan 125,REI-0023,,,Opgeschoven in volgorde
115,9,,HLT2655,BEHEER,"Halte, NL:Q:32002655 Stuyvesantstraat",Laan van Nieuw Oost Indië 275,REI-0023,,,Opgeschoven in volgorde
116,10,,HLT2656,BEHEER,"Halte, NL:Q:32002656 Stuyvesantstraat",Laan van Nieuw Oost Indië 275,REI-0023,,,Opgeschoven in volgorde
117,11,,HLT2698,BEHEER,"Halte, NL:Q:32002698 Station Laan van NOI",Anna van Hannoverstraat 4,REI-0023,,,Opgeschoven in volgorde
118,12,,HLT2659,BEHEER,"Halte, NL:Q:32002659 Station Laan van NOI (ontwerp bijlage)",Laan van Nieuw Oost Indië 293,REI-0023,,,Opgeschoven in volgorde
119,13,,HLT2659,BEHEER,"Halte, NL:Q:32002659 Station Laan van NOI (ontwerp bijlage)",Laan van Nieuw Oost Indië 293,REI-0023,,,Opgeschoven in volgorde
120,14,,HLT2658,BEHEER,"Halte, NL:Q:32002658 Station Laan van NOI",Laan van Nieuw Oost Indië 293,REI-0023,,,Opgeschoven in volgorde
121,15,,HLT2658,BEHEER,"Halte, NL:Q:32002658 Station Laan van NOI",Laan van Nieuw Oost Indië 293,REI-0023,,,Opgeschoven in volgorde
122,16,,HLT3359,BEHEER,"Halte, NL:Q:32003359 Melis Stokelaan",Lozerlaan 1274,REI-0023,,,Verplaatst uit N123
123,17,,HLT3358,BEHEER,"Halte, NL:Q:32003358 Melis Stokelaan",Lozerlaan 1274,REI-0023,,,Verplaatst uit N123
124,18,,HLT3364,BEHEER,"Halte, NL:Q:32003364 Erasmusweg",Lozerlaan 1761,REI-0023,,,Verplaatst uit N123
125,19,,HLT3363,BEHEER,"Halte, NL:Q:32003363 Erasmusweg",Lozerlaan 1761,REI-0023,,,Verplaatst uit N123
126,20,,HLT3372,BEHEER,"Halte, NL:Q:32003372 Revalidatiecentrum",Vrederustlaan Hofstedepad,REI-0023,,,Verplaatst uit N123
127,21,,HLT3373,BEHEER,"Halte, NL:Q:32003373 Revalidatiecentrum",Vrederustlaan Hofstedepad,REI-0023,,,Verplaatst uit N123
128,22,,HLT3314,BEHEER,"Halte, NL:Q:32003314 De Stede",Vrederustlaan 53,REI-0023,,,Verplaatst uit N123
129,23,,HLT3313,BEHEER,"Halte, NL:Q:32003313 De Stede",Vrederustlaan 53,REI-0023,,,Verplaatst uit N123
130,24,,HLT3303,BEHEER,"Halte, NL:Q:32003303 Drapeniersgaarde",Vrederustlaan 123,REI-0023,,,Verplaatst uit N123
131,25,,HLT3302,BEHEER,"Halte, NL:Q:32003302 Drapeniersgaarde",Vrederustlaan 123,REI-0023,,,Verplaatst uit N123
132,,,,,,,,,,
133,PO: REI3N106,,Route: REI-N106,,,,,,,
134,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
135,1,,HLT0936,BEHEER,"Halte, NL:Q:32000936 World Forum",Eisenhowerlaan 77,REI-0023,,,Verplaatst uit N119
136,2,,HLT0937,BEHEER,"Halte, NL:Q:32000937 World Forum",Eisenhowerlaan 77,REI-0023,,,Verplaatst uit N119
137,3,,HLT0938,BEHEER,"Halte, NL:Q:32000938 Johan de Wittlaan",Rooseveltplantsoen 3,REI-0023,,,Verplaatst uit N119
138,4,,HLT0939,BEHEER,"Halte, NL:Q:32000939 Johan de Wittlaan",Rooseveltplantsoen 3,REI-0023,,,Verplaatst uit N119
139,5,,HLT1105,BEHEER,"Halte, NL:Q:32001105 Kunstmuseum/Museon",Stadhouderslaan 80,REI-0023,,,
140,6,,HLT1104,BEHEER,"Halte, NL:Q:32001104 Kunstmuseum/Museon",Stadhouderslaan 80,REI-0023,,,
141,7,,HLT0915,BEHEER,"Halte, NL:Q:32000915 Frederik Hendriklaan",Statenlaan 41B,REI-0023,,,
142,8,,HLT0916,BEHEER,"Halte, NL:Q:32000916 Frederik Hendriklaan",Statenlaan 50,REI-0023,,,
143,9,,HLT0943,BEHEER,"Halte, NL:Q:32000943 Statenkwartier",Statenlaan 100,REI-0023,,,
144,10,,HLT0944,BEHEER,"Halte, NL:Q:32000944 Statenkwartier",Statenlaan 100,REI-0023,,,
145,11,,HLT0934,BEHEER,"Halte, NL:Q:32000934 Doornstraat",Doornstraat 401,REI-0023,,,
146,12,,HLT0935,BEHEER,"Halte, NL:Q:32000935 Doornstraat",Doornstraat 401,REI-0023,,,
147,13,,HLT0901,BEHEER,"Halte, NL:Q:32000901 Statenlaan",Scholstraat 2,REI-0023,,,
148,14,,HLT0902,BEHEER,"Halte, NL:Q:32000902 Statenlaan",Scholstraat 2,REI-0023,,,
149,15,,HLT0913,BEHEER,"Halte, NL:Q:32000913 Willem de Zwijgerlaan (ontwerp bijlage)",van Boetzelaerlaan 132,REI-0023,,,
150,16,,HLT0914,BEHEER,"Halte, NL:Q:32000914 Willem de Zwijgerlaan",van Boetzelaerlaan 132,REI-0023,,,
151,17,,HLT0923,BEHEER,"Halte, NL:Q:32000923 Boreelstraat",van Boetzelaerlaan 30,REI-0023,,,
152,18,,HLT0924,BEHEER,"Halte, NL:Q:32000924 Boreelstraat",van Boetzelaerlaan 30,REI-0023,,,
153,19,,HLT1102,BEHEER,"Halte, NL:Q:32001102 Houtrust",Conradkade/President Kennedylaan,REI-0023,,,
154,20,,HLT1101,BEHEER,"Halte, NL:Q:32001101 Houtrust",Conradkade/President Kennedylaan,REI-0023,,,
155,,,,,,,,,,
156,,,,,,,,,,
157,PO: REI3N107,,Route: REI-N107,,,,,,,
158,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
159,1,,HLT3839,BEHEER,"Halte, NL:Q:32003839 Leeghwaterplein",Leeghwaterplein 27,REI-0023,,,
160,2,,HLT3839,BEHEER,"Halte, NL:Q:32003839 Leeghwaterplein",Leeghwaterplein 27,REI-0023,,,
161,3,,HLT3840,BEHEER,"Halte, NL:Q:32003840 Leeghwaterplein",Leeghwaterplein 27,REI-0023,,,
162,4,,HLT3840,BEHEER,"Halte, NL:Q:32003840 Leeghwaterplein",Leeghwaterplein 27,REI-0023,,,
163,5,,HLT3809,BEHEER,"Halte, NL:Q:32003809 Oudemansstraat (ontwerp zie bijlage)",Oudemansstraat 36,REI-0023,,,
164,6,,HLT3809,BEHEER,"Halte, NL:Q:32003809 Oudemansstraat (ontwerp zie bijlage)",Oudemansstraat 36,REI-0023,,,
165,7,,HLT3810,BEHEER,"Halte, NL:Q:32003810 Oudemansstraat (ontwerp zie bijlage)",Oudemansstraat 36,REI-0023,,,
166,8,,HLT3810,BEHEER,"Halte, NL:Q:32003810 Oudemansstraat (ontwerp zie bijlage)",Oudemansstraat 36,REI-0023,,,
167,9,,HLT3823,BEHEER,"Halte, NL:Q:32003823 Lorentzplein (ontwerp zie bijlage)",Oudemansstraat 206,REI-0023,,,
168,10,,HLT3823,BEHEER,"Halte, NL:Q:32003823 Lorentzplein (ontwerp zie bijlage)",Oudemansstraat 206,REI-0023,,,
169,11,,HLT3824,BEHEER,"Halte, NL:Q:32003824 Lorentzplein (ontwerp zie bijlage)",Oudemansstraat 206,REI-0023,,,
170,12,,HLT3824,BEHEER,"Halte, NL:Q:32003824 Lorentzplein (ontwerp zie bijlage)",Oudemansstraat 206,REI-0023,,,
171,13,,HLT3821,BEHEER,"Halte, NL:Q:32003821 Jonckbloetplein",Gouverneurslaan 353,REI-0023,,,
172,14,,HLT3822,BEHEER,"Halte, NL:Q:32003822 Jonckbloetplein",Gouverneurslaan 353,REI-0023,,,
173,15,,HLT3817,BEHEER,"Halte, NL:Q:32003817 Van Zeggelenlaan",Gouverneurslaan 611,REI-0023,,,
174,16,,HLT3818,BEHEER,"Halte, NL:Q:32003818 Van Zeggelenlaan",Gouverneurslaan 666,REI-0023,,,
175,17,,HLT3841,BEHEER,"Halte, NL:Q:32003841 Alberdingk Thijmstraat",Hildebrandstraat 44,REI-0023,,,
176,18,,HLT3842,BEHEER,"Halte, NL:Q:32003842 Alberdingk Thijmstraat",Hildebrandstraat 44,REI-0023,,,
177,19,,HLT3815,BEHEER,"Halte, NL:Q:32003815 Broeksloot",Jan van der Heijdenstraat 11,REI-0023,,,
178,20,,HLT3837,BEHEER,"Halte, NL:Q:32003837 Broeksloot",Rijswijkseweg 674,REI-0023,,,
179,,,,,,,,,,
180,PO:REI3N108,,Route: REI-N108,,,,,,,
181,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
182,1,,HLT3828,BEHEER,"Halte, NL:Q:32003828 Wenckebachstraat",Rijswijkseweg 327,REI-0023,,,
183,2,,HLT3827,BEHEER,"Halte, NL:Q:32003827 Wenckebachstraat",Rijswijkseweg 281,REI-0023,,,
184,3,,HLT3813,BEHEER,"Halte, NL:Q:32003813 Van Musschenbroekstraat",Rijswijkseweg 127,REI-0023,,,
185,4,,HLT3814,BEHEER,"Halte, NL:Q:32003814 Van Musschenbroekstraat",Rijswijkseweg 362,REI-0023,,,
186,5,,HLT2601,BEHEER,"Halte, NL:Q:32002601 Centraal Station",Rijnstraat 8,REI-0023,,,
187,6,,HLT2602,BEHEER,"Halte, NL:Q:32002602 Centraal Station (ontwerp bijlage)",Rijnstraat 8,REI-0023,,,
