,PO:REI3N101,Unnamed: 1,Route: REI-N101,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
394,18,,HLT2305,BEHEER,"Halte, NL:Q:32002305 Mauritskade",Alexanderstraat 5,REI-0023,,,Verplaatst van D110 naar N116
395,19,,HLT2308,BEHEER,"Halte, NL:Q:32002308 Mauritskade",Alexanderstraat 5,REI-0023,,,
396,20,,HLT2307,UITBEHEER,"Halte, NL:Q:32002307 Mauritskade",Alexanderstraat 5,REI-0023,,,Verwijderen
397,20,,HLT2301,BEHEER,"Halte, NL:Q:32002301 Javastraat",Alexanderstraat 25,REI-0023,,,
398,21,,HLT2301,BEHEER,"Halte, NL:Q:32002301 Javastraat",Alexanderstraat 25,REI-0023,,,
399,22,,HLT2302,BEHEER,"Halte, NL:Q:32002302 Javastraat",Alexanderstraat 25,REI-0023,,,
400,,,,,,,,,,
401,PO: REI3N117,,Route: REI-N117,,,,,,,
402,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
403,1,,HLT0921,BEHEER,"Halte, NL:Q:32000921 World Forum",Scheveningseweg 44,REI-0023,,,
404,2,,HLT0922,BEHEER,"Halte, NL:Q:32000922 World Forum",Scheveningseweg 44,REI-0023,,,
405,3,,HLT1001,BEHEER,"Halte, NL:Q:32001001 Adriaan Goekooplaan",Scheveningseweg/Adriaan Goekooplaan,REI-0023,,,
406,4,,HLT1002,BEHEER,"Halte, NL:Q:32001002 Adriaan Goekooplaan",Scheveningseweg/Adriaan Goekooplaan,REI-0023,,,
407,5,,HLT0508,BEHEER,"Halte, NL:Q:32000508 Vredespaleis",Scheveningseweg/Carnegieplein,REI-0023,,,
408,6,,HLT0509,BEHEER,"Halte, NL:Q:32000509 Vredespaleis",Scheveningseweg/Carnegieplein,REI-0023,,,
409,7,,HLT0507,BEHEER,"Halte, NL:Q:32000507 Vredespaleis",Scheveningseweg/Carnegieplein,REI-0023,,,
410,8,,HLT2832,BEHEER,"Halte, NL:Q:32002832 Centrum",Spui 29,REI-0023,,,
411,9,,HLT2832,BEHEER,"Halte, NL:Q:32002832 Centrum",Spui 29,REI-0023,,,
412,10,,HLT2833,BEHEER,"Halte, NL:Q:32002833 Centrum",Spui 29,REI-0023,,,
413,11,,HLT2833,BEHEER,"Halte, NL:Q:32002833 Centrum",Spui 29,REI-0023,,,
414,12,,HLT2851,BEHEER,"Halte, NL:Q:32002851 Bierkade",Spui 279,REI-0023,,,
415,13,,HLT2851,BEHEER,"Halte, NL:Q:32002851 Bierkade",Spui 279,REI-0023,,,
416,14,,HLT2919,BEHEER,"Halte, NL:Q:32002919 Hoefkade",De heemstraat 432,REI-0023,,,
417,15,,HLT2919,BEHEER,"Halte, NL:Q:32002919 Hoefkade",De heemstraat 432,REI-0023,,,
418,16,,HLT2932,BEHEER,"Halte, NL:Q:32002932 Haagse Markt (ontwerp zie bijlage)",De heemstraat 168,REI-0023,,,
419,17,,HLT2932,BEHEER,"Halte, NL:Q:32002932 Haagse Markt (ontwerp zie bijlage)",De heemstraat 168,REI-0023,,,
420,18,,HLT2931,BEHEER,"Halte, NL:Q:32002931 Haagse Markt (ontwerp zie bijlage)",De heemstraat 168,REI-0023,,,
421,19,,HLT2931,BEHEER,"Halte, NL:Q:32002931 Haagse Markt (ontwerp zie bijlage)",De heemstraat 168,REI-0023,,,
422,20,,HLT2932,BEHEER,"Halte, NL:Q:32002932 Haagse Markt (ontwerp zie bijlage)",De heemstraat 168,REI-0023,,,
423,21,,HLT2911,BEHEER,"Halte, NL:Q:32002911 Haagse Markt",Hobbemaplein 8,REI-0023,,,
424,22,,HLT2912,BEHEER,"Halte, NL:Q:32002912 Haagse Markt",Hobbemaplein 8,REI-0023,,,
425,23,,HLT2908,BEHEER,"Halte, NL:Q:32002908 Delftselaan",De heemstraat 14,REI-0023,,,
426,24,,HLT2908,BEHEER,"Halte, NL:Q:32002908 Delftselaan",De heemstraat 14,REI-0023,,,
427,,,,,,,,,,
428,PO:REI3N118,,Route: REI-N118,,,,,,,
429,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
430,1,,HLT2935,BEHEER,"Halte, NL:Q:32002935 Delftselaan",Delftselaan/Herman Costerstraat,REI-0023,,,
431,2,,HLT2934,BEHEER,"Halte, NL:Q:32002934 Delftselaan",De heemstraat 198,REI-0023,,,
432,3,,HLT2822,BEHEER,"Halte, NL:Q:32002822 HMC Westeinde",Lijnbaan 96,REI-0023,,,
433,4,,HLT2822,BEHEER,"Halte, NL:Q:32002822 HMC Westeinde",Lijnbaan 96,REI-0023,,,
434,5,,HLT2820,BEHEER,"Halte, NL:Q:32002820 HMC Westeinde",Lijnbaan 96,REI-0023,,,
435,6,,HLT2820,BEHEER,"Halte, NL:Q:32002820 HMC Westeinde",Lijnbaan 96,REI-0023,,,
436,7,,HLT2821,BEHEER,"Halte, NL:Q:32002821 Brouwersgracht",Prinsengracht 64,REI-0023,,,
437,8,,HLT2875,BEHEER,"Halte, NL:Q:32002875 Brouwersgracht",Prinsengracht 64,REI-0023,,,
438,9,,HLT2824,BEHEER,"Halte, NL:Q:32002824 Brouwersgracht",Prinsengracht 64,REI-0023,,,
439,10,,HLT2824,BEHEER,"Halte, NL:Q:32002824 Brouwersgracht",Prinsengracht 64,REI-0023,,,
440,11,,HLT2823,BEHEER,"Halte, NL:Q:32002823 Brouwersgracht",Prinsengracht 64,REI-0023,,,
441,12,,HLT2823,BEHEER,"Halte, NL:Q:32002823 Brouwersgracht",Prinsengracht 64,REI-0023,,,
442,13,,HLT2818,BEHEER,"Halte, NL:Q:32002818 Gravenstraat",Gravenstraat/Achterom,REI-0023,,,
443,14,,HLT2819,BEHEER,"Halte, NL:Q:32002819 Gravenstraat",Gravenstraat/Achterom,REI-0023,,,
444,15,,HLT2828,BEHEER,"Halte, NL:Q:32002828 Grote Markt",Prinsengracht 19,REI-0023,,,
445,16,,HLT2828,BEHEER,"Halte, NL:Q:32002828 Grote Markt",Prinsengracht 19,REI-0023,,,Staat er dubbel in i.v.m. grote halte (meerdere ABRI's)
446,17,,HLT2826,BEHEER,"Halte, NL:Q:32002826 Brouwersgracht",Brouwersgracht 11,REI-0023,,,
447,18,,HLT2825,BEHEER,"Halte, NL:Q:32002825 Brouwersgracht",Brouwersgracht 11,REI-0023,,,
448,19,,HLT2917,BEHEER,"Halte, NL:Q:32002917 Om en Bij",Hobbemastraat 42D,REI-0023,,,
449,20,,HLT2918,BEHEER,"Halte, NL:Q:32002918 Om en Bij",Hobbemastraat 42D,REI-0023,,,
450,21,,HLT2916,BEHEER,"Halte, NL:Q:32002916 Vaillantlaan",Paletplein 84,REI-0023,,,
451,22,,HLT2915,BEHEER,"Halte, NL:Q:32002915 Vaillantlaan",Paletplein 84,REI-0023,,,
452,,,,,,,,,,
453,PO:REI3N119,,Route: REI-N119,,,,,,,
454,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
455,1,,HLT3213,BEHEER,"Halte, NL:Q:32003213 Monnickendamplein",Escamplaan 106,REI-0023,,,
456,2,,HLT3213,BEHEER,"Halte, NL:Q:32003213 Monnickendamplein",Escamplaan 106,REI-0023,,,
457,3,,HLT3214,BEHEER,"Halte, NL:Q:32003214 Monnickendamplein",Escamplaan 106,REI-0023,,,
458,4,,HLT3214,BEHEER,"Halte, NL:Q:32003214 Monnickendamplein",Escamplaan 106,REI-0023,,,
459,5,,HLT3109,BEHEER,"Halte, NL:Q:32003109 Tienhovenselaan",Escamplaan 100,REI-0023,,,
460,6,,HLT3109,BEHEER,"Halte, NL:Q:32003109 Tienhovenselaan",Escamplaan 100,REI-0023,,,
461,7,,HLT3110,BEHEER,"Halte, NL:Q:32003110 Tienhovenselaan",Escamplaan 100,REI-0023,,,
462,8,,HLT3110,BEHEER,"Halte, NL:Q:32003110 Tienhovenselaan",Escamplaan 100,REI-0023,,,
463,9,,HLT3003,BEHEER,"Halte, NL:Q:32003003 De la Reyweg (ontwerp zie bijlage)",Loosduinsekade 187,REI-0023,,,
464,10,,HLT3003,BEHEER,"Halte, NL:Q:32003003 De la Reyweg (ontwerp zie bijlage)",Loosduinsekade 187,REI-0023,,,
465,11,,HLT3004,BEHEER,"Halte, NL:Q:32003004 De la Reyweg (ontwerp zie bijlage)",Loosduinsekade 187,REI-0023,,,
466,12,,HLT3004,BEHEER,"Halte, NL:Q:32003004 De la Reyweg (ontwerp zie bijlage)",Loosduinsekade 187,REI-0023,,,
467,13,,HLT2902,BEHEER,"Halte, NL:Q:32002902 Loosduinseweg",Tripstraat 101,REI-0023,,,
468,14,,HLT2901,BEHEER,"Halte, NL:Q:32002901 Loosduinseweg",Tripstraat 101,REI-0023,,,
469,15,,HLT2904,BEHEER,"Halte, NL:Q:32002904 Monstersestraat (ontwerp zie bijlage)",Loosduinsekade 79,REI-0023,,,
470,16,,HLT2904,BEHEER,"Halte, NL:Q:32002904 Monstersestraat (ontwerp zie bijlage)",Loosduinsekade 79,REI-0023,,,
471,17,,HLT2903,BEHEER,"Halte, NL:Q:32002903 Monstersestraat (ontwerp zie bijlage)",Loosduinsekade 79,REI-0023,,,
472,18,,HLT2903,BEHEER,"Halte, NL:Q:32002903 Monstersestraat (ontwerp zie bijlage)",Loosduinsekade 79,REI-0023,,,
473,,,,,,,,,,
474,PO: REI3N120,,Route: REI-N120,,,,,,,
475,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
476,1,,HLT2712,BEHEER,"Halte, NL:Q:32002712 Weteringplein",Weteringplein 17,REI-0023,,,
477,2,,HLT2711,BEHEER,"Halte, NL:Q:32002711 Weteringplein",Weteringplein 17,REI-0023,,,
478,3,,HLS0201,BEHEER,"Halte, NL:Q:42018102 Prins Clauslaan",Bezuidenhoutseweg 67,REI-0023,,,
479,4,,HLS0200,BEHEER,"Halte, NL:Q:42018101 Prins Clauslaan",Prins Clauslaan 8,REI-0023,,,
480,5,,HLT2872,BEHEER,"Halte, NL:Q:32002872 CS/Schedeldoekshaven (ontwerp zie bijlage)",Schedeldoekshaven 592,REI-0023,,,
481,6,,HLT2872,BEHEER,"Halte, NL:Q:32002872 CS/Schedeldoekshaven (ontwerp zie bijlage)",Schedeldoekshaven 592,REI-0023,,,
482,7,,HLT2872,BEHEER,"Halte, NL:Q:32002872 CS/Schedeldoekshaven (ontwerp zie bijlage)",Schedeldoekshaven 592,REI-0023,,,
483,8,,HLT2872,BEHEER,"Halte, NL:Q:32002872 CS/Schedeldoekshaven (ontwerp zie bijlage)",Schedeldoekshaven 592,REI-0023,,,
484,9,,HLT2871,BEHEER,"Halte, NL:Q:32002871 CS/Schedeldoekshaven",Schedeldoekshaven 592,REI-0023,,,
485,10,,HLT2871,BEHEER,"Halte, NL:Q:32002871 CS/Schedeldoekshaven",Schedeldoekshaven 592,REI-0023,,,
486,11,,HLT2928,BEHEER,"Halte, NL:Q:32002928 Jacob Catsstraat",Parallelweg 111,REI-0023,,,
487,12,,HLT2928,BEHEER,"Halte, NL:Q:32002928 Jacob Catsstraat",Parallelweg 111,REI-0023,,,
488,13,,HLT2927,BEHEER,"Halte, NL:Q:32002927 Jacob Catsstraat",Parallelweg 111,REI-0023,,,
489,14,,HLT2927,BEHEER,"Halte, NL:Q:32002927 Jacob Catsstraat",Parallelweg 111,REI-0023,,,
490,15,,HLT2924,BEHEER,"Halte, NL:Q:32002924 Wouwermanstraat",Fruitweg 2,REI-0023,,,
491,16,,HLT2921,BEHEER,"Halte, NL:Q:32002921 Wouwermanstraat",Fruitweg 2,REI-0023,,,
492,17,,HLT2921,BEHEER,"Halte, NL:Q:32002921 Wouwermanstraat",Fruitweg 2,REI-0023,,,
493,18,,HLT2922,BEHEER,"Halte, NL:Q:32002922 Wouwermanstraat",Fruitweg 2,REI-0023,,,
494,19,,HLT2922,BEHEER,"Halte, NL:Q:32002922 Wouwermanstraat",Fruitweg 2,REI-0023,,,
495,20,,HLT2922,BEHEER,"Halte, NL:Q:32002922 Wouwermanstraat",Fruitweg 2,REI-0023,,,
496,21,,HLT2706,BEHEER,"Halte, NL:Q:32002706 Rijswijkseplein/Station HS",Rijswijkseweg 19,REI-0023,,,
497,22,,HLT2706,BEHEER,"Halte, NL:Q:32002706 Rijswijkseplein/Station HS",Rijswijkseweg 19,REI-0023,,,
498,,,,,,,,,,
499,PO: REI3N121,,Route: REI-N121,,,,,,,
500,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
501,1,,HLT2710,BEHEER,"Halte, NL:Q:32012706 Waldorpstraat/Station HS",Rijswijkseweg 84,REI-0023,,,
502,2,,HLT2709,BEHEER,"Halte, NL:Q:32012706 Waldorpstraat/Station HS",Rijswijkseweg 155,REI-0023,,,
503,3,,HLT3847,BEHEER,"Halte, NL:Q:32003847 Station Hollands Spoor",Waldorpstraat 80,REI-0023,,,
504,4,,HLT3846,BEHEER,"Halte, NL:Q:32003846 Station Hollands Spoor",Waldorpstraat 80,REI-0023,,,
505,5,,HLT2708,BEHEER,"Halte, NL:Q:32002708 Rijswijkseplein",Weteringkade 15,REI-0023,,,
506,6,,HLT2707,BEHEER,"Halte, NL:Q:32002707 Rijswijkseplein",Weteringkade 15,REI-0023,,,
507,7,,HLT2715,BEHEER,"Halte, NL:Q:32002715 Rijswijkseplein",Weteringkade 15,REI-0023,,,
508,8,,HLT2705,BEHEER,"Halte, NL:Q:32002705 Rijswijkseplein/Station HS",Rijswijkseplein 42,REI-0023,,,
509,9,,HLT2706,BEHEER,"Halte, NL:Q:32002706 Rijswijkseplein/Station HS",Rijswijkseplein 42,REI-0023,,,
510,10,,HLT2604,BEHEER,"Halte, NL:Q:32002604 Centraal Station",Rijnstraat 8,REI-0023,,,
511,11,,HLT2862,BEHEER,"Halte, NL:Q:32002862 Kalvermarkt-Stadhuis",Kalvermarkt 34,REI-0023,,,Aanpassen in Maximo
512,12,,HLT2863,BEHEER,"Halte, NL:Q:32002863 Kalvermarkt-Stadhuis",Kalvermarkt 34,REI-0023,,,Aanpassen in Maximo
513,,,,,,,,,,
514,,,,,,,,,,
515,PO: REI3N122,,Route: REI-N122,,,,,,,
516,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
517,1,,HLT3801,BEHEER,"Halte, NL:Q:32003801 Goudriaankade",Rijswijkseweg 59,REI-0023,,,
518,2,,HLT3802,BEHEER,"Halte, NL:Q:32003802 Goudriaankade",Rijswijkseweg 59,REI-0023,,,
519,3,,HLT0311,BEHEER,"Halte, NL:Q:32000311 Plesmanweg",Plesmanweg 20,REI-0023,,,
520,4,,HLT0312,BEHEER,"Halte, NL:Q:32000312 Plesmanweg",Plesmanweg 20,REI-0023,,,
521,5,,HLT0305,BEHEER,"Halte, NL:Q:32000305 Badhuisweg",Pompstationweg 7,REI-0023,,,
522,6,,HLT0306,BEHEER,"Halte, NL:Q:32000306 Badhuisweg",Pompstationweg 7,REI-0023,,,
523,7,,HLT0227,BEHEER,"Halte, NL:Q:32000227 Pompstationsweg",DoorniksestraatPompstationweg,REI-0023,,,
524,8,,HLT0228,BEHEER,"Halte, NL:Q:32000228 Pompstationsweg",DoorniksestraatPompstationweg,REI-0023,,,
525,9,,HLT0703,BEHEER,"Halte, NL:Q:32000703 Badhuiskade",Badhuiskade 4C,REI-0023,,,
526,10,,HLT0702,BEHEER,"Halte, NL:Q:32000702 Badhuiskade",Badhuiskade 4C,REI-0023,,,
527,11,,HLT0707,BEHEER,"Halte, NL:Q:32000707 Schev.slag/Beelden aan Zee",Gevers Deynootweg 59,REI-0023,,,
528,12,,HLT0706,BEHEER,"Halte, NL:Q:32000706 Schev.slag/Beelden aan Zee",Gevers Deynootweg 59,REI-0023,,,
529,13,,HLT0749,BEHEER,"Halte, NL:Q:32000749 Schev.slag/Beelden aan Zee",Geversdeynootweg,REI-0023,,,
530,15,,HLT0750,BEHEER,"Halte, NL:Q:32000750 Schev.slag/Beelden aan Zee",Geversdeynootweg,REI-0023,,,
531,15,,HLT0202,BEHEER,"Halte, NL:Q:32000202 Kurhaus",Gevers Deynootweg 662,REI-0023,,,
532,16,,HLT0204,BEHEER,"Halte, NL:Q:32000204 Kurhaus",Gevers Deynootweg 662,REI-0023,,,
533,17,,HLT0213,BEHEER,"Halte, NL:Q:32000213 Zwarte Pad",zwarte pad,REI-0023,,,
534,18,,HLT0212,BEHEER,"Halte, NL:Q:32000212 Zwarte Pad",zwarte pad,REI-0023,,,
535,19,,HLT0214,BEHEER,"Halte, NL:Q:32000214 Zwarte Pad",zwarte pad,REI-0023,,,
536,20,,HLT0215,BEHEER,"Halte, NL:Q:32000215 Zwarte Pad",zwarte pad,REI-0023,,,
537,21,,HLT0216,BEHEER,"Halte, NL:Q:32000216 Zwarte Pad",zwarte pad,REI-0023,,,
538,22,,HLT0203,BEHEER,Halte 0203 Zwarte pad,REI-POH Reinigen Abri (unit-230) en Hekwerk (unit-231),REI-0023,,,Verplaatst van N123
539,23,,HLT0207,BEHEER,"Halte, NL:Q:32000207 Zwarte Pad",REI-POH Reinigen Abri (unit-230) en Hekwerk (unit-231),REI-0023,,,Verplaatst van N123
540,24,,HLT0211,BEHEER,"Halte, NL:Q:32000211 Zwarte Pad",Zwarte Pad,REI-0023,,,Verplaatst van N123
541,,,,,,,,,,
542,PO: REI3N123,,Route: REI-N123,,,,,,,
543,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
544,1,12,HLT0801,BEHEER,"Halte, NL:Q:32000801 Zuiderstrand",Markenseplein 20,REI-0023,,,Verplaatst van N105
545,2,12,HLT0809,BEHEER,"Halte, NL:Q:32000809 Zuiderstrand",Markenseplein 20,REI-0023,,,Verplaatst van N105
546,3,12,HLT0802,BEHEER,"Halte, NL:Q:32000802 Zuiderstrand",Markenseplein 20,REI-0023,,,Toegevoegd stond niet in het PO
547,4,12,HLT0811,BEHEER,"Halte, NL:Q:32000811 Zuiderstrand",Markenseplein 20,REI-0023,,,Toegevoegd stond niet in het PO
548,5,12,HLT0805,BEHEER,"Halte, NL:Q:32000805 Tholensestraat",Duivelandsestraat 7,REI-0023,,,Verplaatst van N105
549,6,12,HLT0806,BEHEER,"Halte, NL:Q:32000806 Tholensestraat",Duivelandsestraat 7,REI-0023,,,Verplaatst van N105
550,7,12,HLT1302,BEHEER,"Halte, NL:Q:32001302 Doctor van Welylaan",Nieboerweg 202,REI-0023,,,Verplaatst van N106
551,8,12,HLT1301,BEHEER,"Halte, NL:Q:32001301 Doctor van Welylaan",Nieboerweg 202,REI-0023,,,Verplaatst van N106
552,9,12,HLT1205,BEHEER,"Halte, NL:Q:32001205 Sportlaan",Nieboerweg 241,REI-0023,,,Verplaatst van N114
553,10,12,HLT1206,BEHEER,"Halte, NL:Q:32001206 Sportlaan",Nieboerweg 241,REI-0023,,,Verplaatst van N114
554,11,12,HLT1211,BEHEER,"Halte, NL:Q:32001211 Goudenregenplein",Goudenregenstraat 170,REI-0023,,,Verplaatst van N114
555,12,12,HLT1212,BEHEER,"Halte, NL:Q:32001212 Goudenregenplein",Goudenregenstraat 66,REI-0023,,,Verplaatst van N114
556,13,12,HLT2007,BEHEER,"Halte, NL:Q:32002007 Fahrenheitstraat",Edisonstraat 145,REI-0023,,,Verplaatst van N103
557,14,12,HLT2008,BEHEER,"Halte, NL:Q:32002008 Fahrenheitstraat",Edisonstraat 145,REI-0023,,,Verplaatst van N103
558,15,12,HLT2015,BEHEER,"Halte, NL:Q:32002015 Copernicusplein",Edisonstraat 5,REI-0023,,,Verplaatst van N103
559,16,12,HLT2016,BEHEER,"Halte, NL:Q:32002016 Copernicusplein",Edisonstraat 15,REI-0023,,,Verplaatst van N103
560,17,12,HLT2104,BEHEER,"Halte, NL:Q:32002104 Weimarstraat",Beeklaan 263,REI-0023,,,Verplaatst van N103
561,18,12,HLT2103,BEHEER,"Halte, NL:Q:32002103 Weimarstraat",Beeklaan 262,REI-0023,,,Verplaatst van N103
562,19,12,HLT2107,BEHEER,"Halte, NL:Q:32002107 Cartesiusstraat",Beeklaan 185A,REI-0023,,,Verplaatst van N103
563,20,12,HLT2108,BEHEER,"Halte, NL:Q:32002108 Cartesiusstraat",Beeklaan 151,REI-0023,,,Verplaatst van N103
564,,,,,,,,,,
565,PO: REI3N201,,Route: REI-N201,,,,,,,
566,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
567,1,,HLT9115,BEHEER,"Halte, NL:Q:32009115 Abtswoudsepark",Gandhilaan 59 Delft,REI-0023,,,
568,2,,HLT9117,BEHEER,"Halte, NL:Q:32009117 Abtswoudsepark",Gandhilaan 59 Delft,REI-0023,,,
569,3,,HLS0011,BEHEER,"Halte, NL:Q:42000701 Abtswoudsepark",Gandhilaan 59 Delft,REI-0023,,,
570,4,,HLT9114,BEHEER,"Halte, NL:Q:32009114 Bikolaan",Afrikalaan 160 Delft,REI-0023,,,
571,5,,HLT9113,BEHEER,"Halte, NL:Q:32009113 Bikolaan",Afrikalaan 108 Delft,REI-0023,,,
572,6,,HLT9112,BEHEER,"Halte, NL:Q:32009112 Sadatweg",Sadatweg 2 Delft,REI-0023,,,
573,7,,HLT9111,BEHEER,"Halte, NL:Q:32009111 Sadatweg",Sadatweg 2 Delft,REI-0023,,,
574,8,,HLT9110,BEHEER,"Halte, NL:Q:32009110 Van der Slootsingel",Buitenhofdreef/Van der SlootsingelDelft,REI-0023,,,
575,9,,HLT9109,BEHEER,"Halte, NL:Q:32009109 Van der Slootsingel",Buitenhofdreef/Van der Slootsingel Delft,REI-0023,,,
576,10,,HLT9108,BEHEER,"Halte, NL:Q:32009108 Diepenbrockstraat",Buitenhofdreef 17 Delft,REI-0023,,,
577,11,,HLT9107,BEHEER,"Halte, NL:Q:32009107 Diepenbrockstraat",Buitenhofdreef 17 Delft,REI-0023,,,
578,12,,HLT9136,BEHEER,"Halte, NL:Q:32009136 Martinus Nijhofflaan",Martinus Nijhofflaan/Aart van der Leeuw Delftlaan,REI-0023,,,
579,13,,HLT9137,BEHEER,"Halte, NL:Q:32009137 Martinus Nijhofflaan",Martinus Nijhofflaan/Aart van der Leeuw Delftlaan,REI-0023,,,
580,14,,HLT9104,BEHEER,"Halte, NL:Q:42003202 /3202 De Hoven Passage",Papsouwselaan 131 Delft,REI-0023,,,
581,15,,HLT9103,BEHEER,"Halte, NL:Q:42003201 /3201 De Hoven Passage",Papsouwselaan 131 Delft,REI-0023,,,
582,16,,HLS0388,BEHEER,"Halte, NL:Q:42003902 Krakeelpolderweg",Westlandseweg 51 Delft,REI-0023,,,
583,17,,HLS0389,BEHEER,"Halte, NL:Q:42003901 Krakeelpolderweg",Westlandseweg 51 Delft,REI-0023,,,
584,18,,HLS0389,BEHEER,"Halte, NL:Q:42003901 Krakeelpolderweg",Westlandseweg 51 Delft,REI-0023,,,
585,,,,,,,,,,
586,PO: REI3N202,,Route: REI-N202,,,,,,,
587,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
588,1,,HLS0055,BEHEER,"Halte, NL:Q:42003601 Julianalaan",michiel de ruyterweg Delft,REI-0023,,,
589,2,,HLS0390,BEHEER,"Halte, NL:Q:42003602 Julianalaan",michiel de ruyterweg Delft,REI-0023,,,
590,3,,HLS0116,BEHEER,"Halte, NL:Q:42007801 Zuidpoort",Zuidwal Delft,REI-0023,,,
591,4,,HLS0117,BEHEER,"Halte, NL:Q:42007802 Zuidpoort",Zuidwal Delft,REI-0023,,,
592,5,,HLT9017,BEHEER,"Halte, NL:Q:32009017 Delft Station",Westvest/Stationsplein Delft,REI-0023,,,
593,6,,HLT9018,BEHEER,"Halte, NL:Q:32009018 Delft Station",Westvest/Stationsplein Delft,REI-0023,,,
594,7,,HLT9018,BEHEER,"Halte, NL:Q:32009018 Delft Station",Phoenixstraat 45 Delft,REI-0023,,,
595,8,,HLT9010,BEHEER,"Halte, NL:Q:32009010 Prinsenhof",Spoorsingel 89 Delft,REI-0023,,,
596,9,,HLT9009,BEHEER,"Halte, NL:Q:32009009 Prinsenhof",Spoorsingel 89 Delft,REI-0023,,,
597,10,,HLT9005,BEHEER,"Halte, NL:Q:32009005 Nieuwe Plantage",Spoorsingel 89 Delft,REI-0023,,,
598,11,,HLT9006,BEHEER,"Halte, NL:Q:32009006 Nieuwe Plantage",REI-POH Reinigen Abri (unit-230) en Hekwerk (unit-231),REI-0023,,,
599,12,,HLT9003,BEHEER,"Halte, NL:Q:32009003 Brasserskade",Vrijebanselaan 55 Delft,REI-0023,,,
600,13,,HLT9004,BEHEER,"Halte, NL:Q:32009004 Brasserskade",Vrijebanselaan 55 Delft,REI-0023,,,
