ID_MAXIMO,Route,Order,Night_shift,longitude,latitude,ID,Cleaning_time_abri
Depot,NA,1,100,4.34894911389561,52.0653854823115,0,0
HLS0138,REI-D101,1,0,4.376993,52.050768,1,20
HLS0140,REI-D101,2,0,4.370949,52.046627,2,20
HLS0172,REI-D101,3,0,4.3647,52.043238,3,20
HLS0131,REI-D101,4,0,4.362007,52.02779,4,20
HLS0130,REI-D101,5,0,4.362162,52.028034,5,13
HLS0219,REI-D101,6,0,4.366838,52.031948,6,20
HLS0218,REI-D101,7,0,4.367013,52.031941,7,20
HLS0127,REI-D101,8,0,4.374758,52.035513,8,20
HLS0126,REI-D101,9,0,4.375093,52.035507,9,13
HLS0336,REI-D101,10,0,4.383181,52.032287,10,13
HLS0337,REI-D101,11,0,4.383063,52.032376,11,13
HLS0141,REI-D101,12,0,4.371153,52.046673,12,20
HLS0139,REI-D101,13,0,4.377239,52.05086,13,20
HLS0163,REI-D101,14,0,4.415457,52.062058,14,20
HLS0207,REI-D101,15,0,4.416644,52.059075,15,20
HLS0206,REI-D101,16,0,4.416687,52.05912,16,20
HLS0164,REI-D101,17,0,4.41544,52.062148,17,20
HLS0133,REI-D101,18,0,4.410877,52.065427,18,20
HLS0132,REI-D101,19,0,4.410286,52.065791,19,13
HLS0214,REI-D101,20,0,4.406458,52.068105,20,20
HLS0215,REI-D101,21,0,4.406224,52.06813,21,20
HLT7119,REI-D101,22,0,4.352312,52.067093,22,20
HLT7120,REI-D101,23,0,4.352534,52.066961,23,13
HLT3907,REI-D101,24,0,4.34064110329787,52.0667989654997,24,20
HLT3908,REI-D101,25,0,4.340601,52.067071,25,13
HLS0184,REI-D102,1,0,4.283969,52.034491,26,20
HLS0155,REI-D102,2,0,4.285972,52.031265,27,20
HLS0194,REI-D102,3,0,4.29007,52.026368,28,20
HLS0161,REI-D102,4,0,4.293527,52.022661,29,20
HLS0198,REI-D102,5,0,4.297951,52.019862,30,20
HLS0202,REI-D102,6,0,4.302055,52.018264,31,20
HLS0203,REI-D102,7,0,4.301737,52.018755,32,20
HLS0199,REI-D102,8,0,4.296792,52.020822,33,20
HLS0162,REI-D102,9,0,4.293806,52.023167,34,20
HLS0195,REI-D102,10,0,4.289974,52.026727,35,20
HLS0156,REI-D102,11,0,4.286533,52.031549,36,20
HLS0185,REI-D102,12,0,4.284155,52.03461,37,20
HLT3343,REI-D102,13,0,4.271386624325,52.0360149317233,38,13
HLT3340,REI-D102,14,0,4.2660258276495,52.033319918307,39,13
HLT3371,REI-D102,15,0,4.267006,52.033243,40,13
HLT3357,REI-D102,16,0,4.26051893417767,52.0305256626575,41,20
HLT3339,REI-D102,17,0,4.26120043377742,52.0309099898917,42,20
HLT3341,REI-D102,18,0,4.26740594541066,52.0337477588673,43,20
HLT3342,REI-D102,19,0,4.27168317229995,52.0359325997125,44,20
HLT3612,REI-D102,20,0,4.29001010596668,52.0444938985215,45,20
HLT3613,REI-D102,21,0,4.29118082368249,52.0440387053657,46,20
HLS0142,REI-D102,22,0,4.30322,52.047793,47,20
HLS0143,REI-D102,23,0,4.303809,52.046972,48,20
HLT4015,REI-D102,24,0,4.285574,52.040322,49,20
HLT4016,REI-D102,25,0,4.28561,52.040044,50,20
HLT3912,REI-D103,1,0,4.336626,52.069903,51,13
HLT3903,REI-D103,2,0,4.33330205409404,52.0729117774667,52,13
HLT3904,REI-D103,3,0,4.33434179462147,52.0716611773701,53,13
HLT3906,REI-D103,4,0,4.3364707744107,52.0701556590412,54,20
HLT3905,REI-D103,5,0,4.33705246394757,52.0689586013162,55,20
HLS0307,REI-D103,6,0,4.269523,52.022319,56,13
HLS0308,REI-D103,7,0,4.269222,52.022127,57,13
HLS0309,REI-D103,8,0,4.274822,52.02369,58,13
HLS0304,REI-D103,9,0,4.281466,52.02547,59,13
HLS0305,REI-D103,10,0,4.280727,52.025301,60,13
HLS0235,REI-D103,11,0,4.36135,52.100359,61,20
HLS0236,REI-D103,12,0,4.360956,52.100355,62,20
HLS0152,REI-D103,13,0,4.358048,52.098631,63,20
HLS0205,REI-D103,14,0,4.349589,52.093316,64,20
HLS0129,REI-D103,15,0,4.339957,52.090202,65,20
HLS0183,REI-D103,16,0,4.333882,52.087325,66,13
HLS0125,REI-D103,17,0,4.328673,52.084834,67,13
HLS0362,REI-D103,18,0,4.331293,52.092507,68,20
HLS0366,REI-D103,19,0,4.335599,52.094361,69,13
HLS0367,REI-D103,20,0,4.347509,52.09932,70,13
HLS0365,REI-D103,21,0,4.358149,52.105005,71,13
HLS0368,REI-D103,22,0,4.346273,52.099103,72,20
HLS0364,REI-D103,23,0,4.334929,52.094274,73,13
HLS0363,REI-D103,24,0,4.329667,52.09216,74,13
HLS0124,REI-D103,25,0,4.329035,52.084945,75,13
HLS0182,REI-D103,26,0,4.335973,52.088369,76,13
HLS0128,REI-D103,27,0,4.34088,52.090669,77,20
HLS0204,REI-D103,28,0,4.350785,52.093965,78,20
HLS0151,REI-D103,29,0,4.357855,52.098108,79,20
HLT2636,REI-D104,1,0,4.33575583046536,52.0855605236657,80,20
HLT2504,REI-D104,2,0,4.35070206639716,52.092189557212,81,20
HLT2502,REI-D104,3,0,4.34746839776514,52.0909152755171,82,20
HLT2641,REI-D104,4,0,4.344221098045,52.0893228656168,83,13
HLT2640,REI-D104,5,0,4.34053603045142,52.0878914018656,84,13
HLT2635,REI-D104,6,0,4.33584919834467,52.085735494864,85,20
HLT2639,REI-D104,7,0,4.3395330165364,52.0872884352986,86,20
HLT2642,REI-D104,8,0,4.34439808585869,52.089182696308,87,20
HLT2501,REI-D104,9,0,4.34728061693831,52.0906293138396,88,20
HLT2503,REI-D104,10,0,4.35244085851387,52.0926541492052,89,20
HLT2506,REI-D104,11,0,4.3559562781038,52.0943794596975,90,13
HLT2505,REI-D104,12,0,4.35615315934329,52.0943226209363,91,13
HLT2507,REI-D104,13,0,4.36013991659398,52.0964923707625,92,13
HLT2508,REI-D104,14,0,4.36071909051003,52.09652487987,93,20
HLS0157,REI-D104,15,0,4.332999,52.081448,94,20
HLS0316,REI-D104,16,0,4.335131,52.079507,95,20
HLS0147,REI-D104,17,0,4.337596,52.077642,96,20
HLS0148,REI-D104,18,0,4.337889,52.077599,97,13
HLS0315,REI-D104,19,0,4.334246,52.080542,98,13
HLT2649,REI-D104,20,0,4.33931637114307,52.0843828889647,99,20
HLT2637,REI-D104,21,0,4.33684134900341,52.0865157166829,100,20
HLT3844,REI-D105,1,0,4.3120325933739,52.0582038775979,101,13
HLT3843,REI-D105,2,0,4.31227534198531,52.0580301651399,102,20
HLT3858,REI-D105,3,0,4.31476386024955,52.0647737440185,103,20
HLT3857,REI-D105,4,0,4.31534220608393,52.0650114218305,104,20
HLT3860,REI-D105,5,0,4.31860823810236,52.0669240153178,105,13
HLT3859,REI-D105,6,0,4.31862063254475,52.0667390942887,106,20
HLT3847,REI-D105,7,0,4.3226077914308,52.068526848567,107,65
HLT2874,REI-D105,8,0,4.30896562829692,52.0813951847169,108,20
HLT2873,REI-D105,9,0,4.30955207869815,52.0813797306583,109,20
HLT2857,REI-D105,10,0,4.3181708455341,52.0762761181492,110,20
HLT2858,REI-D105,11,0,4.320234,52.077117,111,13
HLT3820,REI-D105,12,0,4.32176434430744,52.0580731595153,112,20
HLT3833,REI-D105,13,0,4.32339259232234,52.0557150313279,113,13
HLT3834,REI-D105,14,0,4.32384185127498,52.0557310434146,114,20
HLT3819,REI-D105,15,0,4.32137820675742,52.0587886410883,115,20
HLT3807,REI-D105,16,0,4.31843417672131,52.0611665389729,116,20
HLT3808,REI-D105,17,0,4.31835416602612,52.0610015648897,117,20
HLT2633,REI-D106,1,0,4.33298454463528,52.0844643197803,118,20
HLT2634,REI-D106,2,0,4.33328306724958,52.0844686259132,119,20
HLT2631,REI-D106,3,0,4.33006987364627,52.0830736144388,120,20
HLT2632,REI-D106,4,0,4.33092356249137,52.0834327104532,121,20
HLT2638,REI-D106,5,0,4.33736218862579,52.0859212517317,122,20
HLT2650,REI-D106,6,0,4.33930181540872,52.0842494031283,123,20
HLS0158,REI-D106,7,0,4.331895,52.081878,124,20
HLT0447,REI-D106,8,0,4.315542,52.091529,125,13
HLT0448,REI-D106,9,0,4.315419,52.091761,126,13
HLT0436,REI-D106,10,0,4.317533,52.088805,127,20
HLT0437,REI-D106,11,0,4.319583,52.089741,128,13
HLT0427,REI-D106,12,0,4.3195205259337,52.0921868243557,129,13
HLT0426,REI-D106,13,0,4.31957823867838,52.0924967656612,130,20
HLT0428,REI-D106,14,0,4.323095,52.093601,131,13
HLT0429,REI-D106,15,0,4.324033,52.094068,132,20
HLT0440,REI-D106,16,0,4.330286,52.094367,133,13
HLT0431,REI-D106,17,0,4.326403,52.096265,134,20
HLT0416,REI-D106,18,0,4.32193029175675,52.1001790236594,135,20
HLT0404,REI-D106,19,0,4.31796413410107,52.1035931062374,136,20
HLT0406,REI-D106,20,0,4.317923,52.104215,137,13
HLT0405,REI-D106,21,0,4.319108,52.104729,138,20
HLT0408,REI-D106,22,0,4.323166,52.105359,139,13
HLT0409,REI-D106,23,0,4.325369,52.105388,140,20
HLT0407,REI-D106,24,0,4.323516,52.105956,141,20
HLT0410,REI-D106,25,0,4.318902,52.105159,142,13
HLT0402,REI-D107,1,0,4.31501964749388,52.1012343283809,143,20
HLT0401,REI-D107,2,0,4.31490865154569,52.1010789016025,144,20
HLT0403,REI-D107,3,0,4.31814917046317,52.1031156242217,145,20
HLT0413,REI-D107,4,0,4.315566,52.098441,146,13
HLT0411,REI-D107,5,0,4.31159347098113,52.0966546050319,147,20
HLT0418,REI-D107,6,0,4.31305610533233,52.0945623928717,148,20
HLT0417,REI-D107,7,0,4.3128388294109,52.0952006965006,149,20
HLT0412,REI-D107,8,0,4.31308300599461,52.0973925733531,150,13
HLT0414,REI-D107,9,0,4.315853,52.098641,151,20
HLT0415,REI-D107,10,0,4.32156599743908,52.1001717034707,152,20
HLT0430,REI-D107,11,0,4.326409,52.096022,153,20
HLS0363,REI-D107,12,0,4.329667,52.09216,154,13
HLT0603,REI-D107,13,0,4.29987278824698,52.0973919192484,155,20
HLT0604,REI-D107,14,0,4.3000957481723,52.0974605468231,156,20
HLT0605,REI-D107,15,0,4.30115079503412,52.0946637597382,157,13
HLT0503,REI-D107,16,0,4.30207935405249,52.0939709414044,158,20
HLT0504,REI-D107,17,0,4.30265277689089,52.0933089689487,159,20
HLT2401,REI-D107,18,0,4.31645272209252,52.0848837193078,160,13
HLT2403,REI-D107,19,0,4.31683348723635,52.0848754088929,161,20
HLT0226,REI-D107,20,0,4.29813714441596,52.1090120342029,162,13
HLT0225,REI-D107,21,0,4.29679152688367,52.1101260213315,163,20
HLT0310,REI-D107,22,0,4.30846406104529,52.108784020229,164,20
HLT0309,REI-D107,23,0,4.306603,52.10937,165,20
HLT0224,REI-D107,24,0,4.29632906024534,52.111317114036,166,20
HLT0223,REI-D107,25,0,4.29589280932128,52.1112833139141,167,20
HLT0222,REI-D107,26,0,4.29093739612432,52.1106503366313,168,20
HLT0220,REI-D108,1,0,4.288068,52.109747,169,13
HLT0219,REI-D108,2,0,4.287317,52.109992,170,20
HLT0218,REI-D108,3,0,4.28741505902821,52.1121333071707,171,20
HLT0217,REI-D108,4,0,4.28726571567318,52.1121945199754,172,20
HLT0229,REI-D108,5,0,4.284011,52.112047,173,20
HLT0205,REI-D108,6,0,4.28368444242148,52.1120294402802,174,20
HLT0726,REI-D108,7,0,4.28868138576308,52.1070809777064,175,20
HLT0727,REI-D108,8,0,4.28913714381468,52.1072879836596,176,13
HLT0725,REI-D108,9,0,4.28639333811982,52.104617517952,177,20
HLT0734,REI-D108,10,0,4.28310135961231,52.1014730771013,178,21
HLT0724,REI-D108,11,0,4.28629427503056,52.1040868685722,179,20
HLT3201,REI-D108,12,0,4.25988473489936,52.0622454150696,180,20
HLT3202,REI-D108,13,0,4.26084791879404,52.0622208895183,181,20
HLT1924,REI-D108,14,0,4.25792464337325,52.063676852156,182,20
HLT1914,REI-D108,15,0,4.25332837593685,52.0649013007184,183,13
HLT1911,REI-D108,16,0,4.25169263633927,52.0650468266869,184,20
HLT1907,REI-D108,17,0,4.24784825566121,52.0668517449488,185,20
HLT1908,REI-D108,18,0,4.24806906684069,52.0662887519574,186,20
HLT1912,REI-D108,19,0,4.25421544289492,52.0641477905831,187,20
HLT1913,REI-D108,20,0,4.25237651264599,52.0641480614418,188,20
HLT1923,REI-D108,21,0,4.25696917650807,52.0635688982326,189,20
HLT3408,REI-D108,22,0,4.27463851350802,52.0554122317093,190,20
HLT1107,REI-D109,1,0,4.2801918694878,52.0884045222757,191,13
HLT1106,REI-D109,2,0,4.27946560860845,52.0883699908259,192,20
HLT1125,REI-D109,3,0,4.27800489877421,52.0875793139329,193,20
HLT0930,REI-D109,4,0,4.277596,52.087573,194,20
HLT0932,REI-D109,5,0,4.274044,52.086047,195,20
HLT0920,REI-D109,6,0,4.280671,52.093615,196,13
HLT0919,REI-D109,7,0,4.280661,52.093444,197,13
HLT0944,REI-D109,8,0,4.278274,52.090842,198,13
HLT0908,REI-D109,9,0,4.276434,52.092659,199,13
HLT0912,REI-D109,10,0,4.276237,52.09236,200,13
HLT0910,REI-D109,11,0,4.2779008915119,52.0953394429413,201,20
HLT0911,REI-D109,12,0,4.27817729560765,52.0954738560172,202,20
HLT0905,REI-D109,13,0,4.28133152309854,52.0989761989589,203,20
HLT0904,REI-D109,14,0,4.28151634258156,52.0991939850492,204,20
HLT0732,REI-D109,15,0,4.270283,52.096457,205,20
HLT0730,REI-D109,16,0,4.26678963953563,52.0928095335104,206,13
HLT0807,REI-D109,17,0,4.26229,52.090439,207,13
HLT0804,REI-D109,18,0,4.257331,52.089753,208,13
HLT0803,REI-D109,19,0,4.258315,52.090104,209,20
HLT0808,REI-D109,20,0,4.26232924694836,52.0903021773036,210,20
HLT0744,REI-D109,21,0,4.263884,52.093232,211,20
HLT0731,REI-D110,1,0,4.26831401662161,52.0938865902528,212,20
HLT0732,REI-D110,2,0,4.270283,52.096457,213,20
HLT0718,REI-D110,3,0,4.27373983210292,52.1009544842491,214,20
HLT0719,REI-D110,4,0,4.27497905453913,52.101621233843,215,20
HLT1103,REI-D110,5,0,4.27804922351556,52.0872465784974,216,20
HLT0515,REI-D110,6,0,4.301436,52.087085,217,20
HLT0510,REI-D110,7,0,4.305635,52.090243,218,20
HLT0511,REI-D110,8,0,4.305544,52.089765,219,20
HLT0516,REI-D110,9,0,4.302489,52.087598,220,13
HLT1123,REI-D110,10,0,4.29225717843593,52.0850455566203,221,20
HLT1118,REI-D110,11,0,4.28764956198165,52.0852910315099,222,20
HLT1112,REI-D110,12,0,4.27906386319042,52.0837158898949,223,20
HLT1113,REI-D110,13,0,4.27959798558544,52.0843315815511,224,20
HLT1110,REI-D110,14,0,4.276644447142,52.0820934275228,225,20
HLT2013,REI-D110,15,0,4.27645092087172,52.0780417480059,226,13
HLT2017,REI-D110,16,0,4.2750865024914,52.0755849821451,227,13
HLT2021,REI-D110,17,0,4.27527997395789,52.0725871733176,228,13
HLT2019,REI-D111,1,0,4.26939161648067,52.0706462933887,229,13
HLT1917,REI-D111,2,0,4.26290266589708,52.0689136755134,230,20
HLT1916,REI-D111,3,0,4.25895770076123,52.0675020680755,231,20
HLT1918,REI-D111,4,0,4.2634417566283,52.0690452467923,232,20
HLT2020,REI-D111,5,0,4.26965993642885,52.0706091001204,233,20
HLT2022,REI-D111,6,0,4.27553122836856,52.072911299228,234,20
HLT2018,REI-D111,7,0,4.27563188763052,52.0763723262955,235,13
HLT2012,REI-D111,8,0,4.27702211647354,52.0790645740701,236,20
HLT1111,REI-D111,9,0,4.27705199663484,52.0820482331792,237,13
HLT1117,REI-D111,10,0,4.28699681366676,52.0852006860692,238,20
HLT1124,REI-D111,11,0,4.29223345216926,52.0848907024605,239,13
HLT1209,REI-D111,12,0,4.27311984709792,52.0851645503645,240,13
HLT1210,REI-D111,13,0,4.27215595707529,52.0851388195567,241,20
HLT1207,REI-D111,14,0,4.26528730574358,52.082334695646,242,20
HLT1208,REI-D111,15,0,4.26438726289608,52.0820789153493,243,20
HLT1203,REI-D111,16,0,4.26082125206425,52.080466894061,244,20
HLT1204,REI-D111,17,0,4.25979113764391,52.0801897119236,245,20
HLT1201,REI-D111,18,0,4.254697608956,52.0780749136373,246,20
HLT1202,REI-D111,19,0,4.25525747672709,52.0781925118133,247,20
HLT1308,REI-D111,20,0,4.2494000148956,52.0758939817389,248,13
HLT1307,REI-D112,1,0,4.25140470872696,52.0765455599332,249,20
HLT1306,REI-D112,2,0,4.2465174891641,52.0745400668295,250,20
HLT1305,REI-D112,3,0,4.24535029567165,52.0742207720985,251,13
HLT1508,REI-D112,4,0,4.22357280945134,52.0668077938643,252,13
HLT1506,REI-D112,5,0,4.22275324695712,52.06862350349,253,13
HLT1502,REI-D112,6,0,4.2180835140604,52.066462482348,254,20
HLT1504,REI-D112,7,0,4.22262956598752,52.0687621457293,255,13
HLT1516,REI-D112,8,0,4.22413015587448,52.0655872066853,256,20
HLT1514,REI-D112,9,0,4.22480085871072,52.0662687756448,257,20
HLT1403,REI-D112,10,0,4.23218187382161,52.0681388537322,258,20
HLT1404,REI-D112,11,0,4.23209838799404,52.0683856675575,259,13
HLT1412,REI-D112,12,0,4.23561459026974,52.0670429366823,260,20
HLT1411,REI-D112,13,0,4.23555543563438,52.0666292135708,261,20
HLT1406,REI-D112,14,0,4.23667656912648,52.0698108687924,262,35
HLT1408,REI-D112,15,0,4.24097381784305,52.0715910519634,263,35
HLT1421,REI-D112,16,0,4.24065349556269,52.0657695373576,264,20
HLT1417,REI-D112,17,0,4.23706984122819,52.0648769363753,265,20
HLT1418,REI-D112,18,0,4.23747181956075,52.065053313257,266,13
HLT1425,REI-D112,19,0,4.22654154604364,52.0631085093536,267,20
HLT1426,REI-D112,20,0,4.22602396063551,52.0632317860165,268,20
HLT1873,REI-D112,21,0,4.22606296129191,52.0585112299475,269,20
HLT1872,REI-D112,22,0,4.22662194525206,52.0583088276514,270,20
HLT1835,REI-D112,23,0,4.22786206254449,52.0570660144044,271,20
HLT1834,REI-D112,24,0,4.22801370012659,52.0575349570347,272,20
HLS0188,REI-D113,1,0,4.226034,52.050833,273,13
HLS0189,REI-D113,2,0,4.226701,52.051001,274,13
HLS0190,REI-D113,3,0,4.221448,52.0489,275,13
HLS0197,REI-D113,4,0,4.209976,52.046062,276,20
HLS0196,REI-D113,5,0,4.209726,52.04615,277,20
HLS0191,REI-D113,6,0,4.222247,52.049025,278,20
HLS0192,REI-D113,7,0,4.229364,52.052313,279,20
HLS0193,REI-D113,8,0,4.229754,52.052452,280,20
HLT1821,REI-D113,9,0,4.23389974883629,52.0542678637796,281,20
HLT1820,REI-D113,10,0,4.23365387456737,52.0543610610503,282,20
HLT1822,REI-D113,11,0,4.23853864000956,52.0550860576614,283,20
HLT1823,REI-D113,12,0,4.2384645101827,52.0551826032326,284,20
HLT1828,REI-D113,13,0,4.24795344050782,52.059436250326,285,20
HLT1808,REI-D113,14,0,4.24740593582614,52.0613182814916,286,20
HLT1809,REI-D113,15,0,4.24703740239513,52.0612914415407,287,20
HLT1829,REI-D113,16,0,4.24783772247889,52.059305178619,288,13
HLT1715,REI-D113,17,0,4.25163227605954,52.0557213157229,289,20
HLT1716,REI-D113,18,0,4.25072483701974,52.0563952744465,290,20
HLT1825,REI-D113,19,0,4.24605639344988,52.0565327580841,291,20
HLS0136,REI-D113,20,0,4.253607,52.051902,292,20
HLS0230,REI-D113,21,0,4.248576,52.048473,293,20
HLS0166,REI-D113,22,0,4.242597,52.043984,294,20
HLS0212,REI-D113,23,0,4.235364,52.039536,295,20
HLS0213,REI-D113,24,0,4.236315,52.039977,296,13
HLT1677,REI-D114,1,0,4.240459,52.045518,297,20
HLS0165,REI-D114,2,0,4.240985,52.043186,298,20
HLS0231,REI-D114,3,0,4.249571,52.048914,299,20
HLS0137,REI-D114,4,0,4.254675,52.052307,300,20
HLT1717,REI-D114,5,0,4.25868285890681,52.0551439362332,301,13
HLT1718,REI-D114,6,0,4.25740910117965,52.0545174488491,302,13
HLT1721,REI-D114,7,0,4.26193342693348,52.0570853492844,303,20
HLT1719,REI-D114,8,0,4.26153361671092,52.0570438914836,304,13
HLT3209,REI-D114,9,0,4.26360454959403,52.0594866872479,305,20
HLT3210,REI-D114,10,0,4.26362238597099,52.0592943612872,306,20
HLS0181,REI-D114,11,0,4.296006,52.054864,307,13
HLS0217,REI-D114,12,0,4.29238,52.058839,308,20
HLT3708,REI-D114,13,0,4.30306038741281,52.056294589728,309,20
HLT3709,REI-D114,14,0,4.30193001200223,52.0567790743245,310,20
HLS0216,REI-D114,15,0,4.29354,52.057933,311,13
HLS0180,REI-D114,16,0,4.29642,52.054023,312,13
HLS0135,REI-D114,17,0,4.298769,52.051564,313,20
HLS0134,REI-D114,18,0,4.298853,52.051124,314,20
HLT3601,REI-D114,19,0,4.2847159887493,52.048140641604,315,20
HLT3439,REI-D114,20,0,4.28087620553163,52.0512774337604,316,13
HLT3438,REI-D115,1,0,4.28091817078335,52.0509160884693,317,20
HLT3436,REI-D115,2,0,4.27935778947973,52.0491489091486,318,20
HLT3437,REI-D115,3,0,4.27931534507729,52.0496709143165,319,20
HLT3413,REI-D115,4,0,4.27446096207117,52.0500461641258,320,50
HLT3414,REI-D115,5,0,4.27493207188515,52.0501525582492,321,35
HLT3411,REI-D115,6,0,4.26869833451072,52.0477124666053,322,20
HLT3412,REI-D115,7,0,4.26868762699302,52.0475936956631,323,20
HLT3323,REI-D115,8,0,4.26385473215324,52.0453663001048,324,20
HLT3322,REI-D115,9,0,4.26367949667824,52.0451257772462,325,13
HLT3320,REI-D115,10,0,4.25955067643816,52.0429242712834,326,20
HLT3321,REI-D115,11,0,4.26096666202824,52.0435738241702,327,20
HLT3405,REI-D115,12,0,4.27089447410194,52.053112189457,328,20
HLT3406,REI-D115,13,0,4.27159931046594,52.0526932210473,329,20
HLT3319,REI-D115,14,0,4.25645385688362,52.0411331030516,330,13
HLT3318,REI-D115,15,0,4.25564423852357,52.0405391486485,331,20
HLT3361,REI-D115,16,0,4.25138391005665,52.0382738684478,332,13
