T0,maxIter,osc,finalObjective,improvement,runtimeSeconds
0.1,1000,1,334.69090009059767,0.2891795488362163,23.892
0.1,1000,5,334.7701005466452,0.20997909278867155,21.85
0.1,1000,10,334.73357722098467,0.24650241844921084,21.468
0.1,1000,50,334.6879371487486,0.2921424906853076,22.403
0.5,1000,1,334.9747719535748,0.005307685859065714,18.692
0.5,1000,5,334.8810331851126,0.09904645432129655,19.374
0.5,1000,10,335.01533351155115,-0.03525387211726638,19.614
0.5,1000,50,335.00237156065094,-0.022291921217060917,20.037
1.0,1000,1,336.1244884393701,-1.1444087999362296,18.501
1.0,1000,5,336.2832744399818,-1.3031948005479421,20.613
1.0,1000,10,336.41296810590694,-1.4328884664730595,20.596
1.0,1000,50,336.49520296762,-1.515123328186121,20.148
2.0,1000,1,339.70268903088964,-4.722609391455762,22.639
2.0,1000,5,339.73062351615795,-4.750543876724066,23.508
2.0,1000,10,340.8129058935339,-5.832826254100041,18.327
2.0,1000,50,339.52588673280223,-4.545807093368353,18.588
0.1,2000,1,334.53841014048686,0.44166949894702157,52.849
0.1,2000,5,334.5166184619846,0.4634611774492896,47.238
0.1,2000,10,334.6580506368093,0.3220290026245607,45.747
0.1,2000,50,334.4463332650331,0.5337463744007778,47.042
0.5,2000,1,334.85125267124056,0.12882696819332295,37.702
0.5,2000,5,334.5754796112365,0.40460002819736474,40.287
0.5,2000,10,334.8037070431875,0.1763725962463809,39.666
0.5,2000,50,334.93181369119236,0.04826594824152153,37.666
1.0,2000,1,335.7526979279668,-0.7726182885328967,38.132
1.0,2000,5,335.8542700392048,-0.874190399770896,39.684
1.0,2000,10,335.8242541915617,-0.8441745521278108,36.5
1.0,2000,50,336.24776308984866,-1.2676834504147791,37.819
2.0,2000,1,338.92495105813464,-3.9448714187007567,36.465
2.0,2000,5,340.2215032083308,-5.2414235688968915,37.033
2.0,2000,10,340.9819557104633,-6.001876071029415,36.349
2.0,2000,50,339.95117723957867,-4.9710976001447875,36.555
0.1,5000,1,334.2553668753175,0.7247127641163615,122.531
0.1,5000,5,334.2376348517993,0.7424447876345539,121.709
0.1,5000,10,334.36073421539544,0.6193454240384426,127.379
0.1,5000,50,334.19752015519936,0.7825594842345254,117.917
0.5,5000,1,334.13735163130605,0.8427280081278354,96.91
0.5,5000,5,334.22983914119527,0.750240498238611,96.598
0.5,5000,10,334.1370737198579,0.8430059195760009,92.771
0.5,5000,50,334.13663864719416,0.8434409922397208,96.207
1.0,5000,1,335.04972801796185,-0.06964837852797245,91.318
1.0,5000,5,335.2307771971927,-0.2506975577588264,93.082
1.0,5000,10,335.6566036525338,-0.6765240130999359,90.516
1.0,5000,50,335.309890676581,-0.3298110371471239,89.834
2.0,5000,1,339.6249242205024,-4.644844581068526,88.389
2.0,5000,5,339.0953624583712,-4.115282818937317,86.997
2.0,5000,10,339.2741555979991,-4.294075958565202,86.969
2.0,5000,50,339.4026965102191,-4.422616870785191,85.457
0.1,10000,1,334.1208259950875,0.8592536443463814,398.605
0.1,10000,5,334.0232798211768,0.9567998182570818,280.509
0.1,10000,10,334.22813025947977,0.7519493799541124,221.675
0.1,10000,50,334.00843412754614,0.9716455118877434,283.834
0.5,10000,1,333.926013035687,1.0540666037468895,190.638
0.5,10000,5,333.61803283235287,1.3620468070810148,195.374
0.5,10000,10,333.8904188009674,1.0896608384665,190.687
0.5,10000,50,333.76043388641676,1.2196457530171187,200.507
1.0,10000,1,334.61376703617196,0.3663126032619175,192.043
1.0,10000,5,334.06497597180015,0.9151036676337299,175.581
1.0,10000,10,334.5884236103728,0.391656029061096,174.96
1.0,10000,50,334.5033901963483,0.4766894430856041,187.163
2.0,10000,1,338.17567419438245,-3.1955945549485705,177.014
2.0,10000,5,337.3062007537991,-2.3261211143652076,173.78
2.0,10000,10,337.96600841968194,-2.9859287802480594,176.675
2.0,10000,50,338.0582484243849,-3.0781687849510035,168.089
0.1,20000,1,334.23217123673004,0.7479084027038425,540.417
0.1,20000,5,333.7907774571635,1.18930218227041,588.599
0.1,20000,10,333.52698234142645,1.4530972980074353,636.971
0.1,20000,50,333.92249313724574,1.057586502188144,475.371
0.5,20000,1,333.3362046115772,1.6438750278566658,382.044
0.5,20000,5,333.1583246103407,1.8217550290931968,398.509
0.5,20000,10,333.20056891733043,1.7795107221034527,408.01
0.5,20000,50,333.32671591831235,1.6533637211215364,392.254
1.0,20000,1,333.8482136256971,1.1318660137367829,365.725
1.0,20000,5,333.6192940420746,1.3607855973592677,363.047
1.0,20000,10,333.5955713944337,1.3845082450001769,353.787
1.0,20000,50,333.73761725517517,1.2424623842587152,360.411
2.0,20000,1,337.10470613103047,-2.1246264915965867,350.667
2.0,20000,5,336.19967706296,-1.2195974235261247,344.949
2.0,20000,10,336.09833606321433,-1.1182564237804513,342.349
2.0,20000,50,336.82585027663475,-1.8457706372008715,337.532
0.1,50000,1,334.01619657526936,0.96388306416452,1358.106
0.1,50000,5,333.65024215041956,1.3298374890143236,1182.109
0.1,50000,10,333.80317340588624,1.1769062335476406,1210.994
0.1,50000,50,333.6962364322641,1.2838432071698094,6125.504
0.5,50000,1,332.935323867976,2.044755771457858,1014.124
0.5,50000,5,332.92635778664004,2.053721852793842,998.74
0.5,50000,10,333.1046115961335,1.8754680433003728,988.854
0.5,50000,50,332.79850220217793,2.181577437255953,987.844
1.0,50000,1,333.3687610295588,1.6113186098750703,907.718
1.0,50000,5,333.0856579393754,1.8944217000585013,912.862
1.0,50000,10,333.1767698490959,1.8033097903380053,895.899
1.0,50000,50,333.22002049627105,1.7600591431628345,1920.489
2.0,50000,1,336.2701149501006,-1.290035310666724,858.633
2.0,50000,5,334.95384693656433,0.026232702869549485,878.991
2.0,50000,10,334.8949540118511,0.08512562758278364,871.729
2.0,50000,50,334.22714481140974,0.7529348280241379,890.055
0.1,100000,1,333.64892800163796,1.3311516377959265,1408.191
0.1,100000,5,333.66852078700526,1.3115588524286181,2498.173
0.1,100000,10,333.5887525026328,1.391327136801067,3021.347
0.1,100000,50,333.98277930921415,0.9973003302197299,3135.17
0.5,100000,1,332.66706232109857,2.313017318335312,2078.753
0.5,100000,5,332.5277930516403,2.452286587793594,2052.136
0.5,100000,10,332.7083342881391,2.2717453512947827,1963.424
0.5,100000,50,332.52640746275506,2.453672176678822,2161.939
1.0,100000,1,332.58506619285725,2.395013446576627,1850.011
1.0,100000,5,332.8966619036639,2.083417735769956,1837.156
1.0,100000,10,332.5663956739466,2.41368396548728,1830.705
1.0,100000,50,332.6620222095599,2.3180574298739884,1786.391
2.0,100000,1,334.7800890498409,0.19999058959297145,1721.487
2.0,100000,5,333.4471151666652,1.5329644727686969,1710.527
2.0,100000,10,333.8221873002796,1.157892339154273,1700.676
2.0,100000,50,333.7144510452642,1.2656285941696979,1684.635